Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
12:21.1,9.9918,1.94956,0.86132,1.01504,2.21308,3.20616,2
12:22.2,9.9918,1.43472,0.74176,0.91988,1.90808,2.999248,2
12:23.1,9.9918,1.66408,0.7076,1.06628,3.0134,3.288632,2
12:24.2,9.9918,1.1956,0.69296,0.93452,2.04716,2.972408,2
12:25.1,9.9918,0.9638,0.66368,0.79544,1.92272,2.867488,2
12:26.2,9.9918,0.976,0.75884,0.9394,4.16996,3.3672,2
12:27.1,9.9918,1.35908,0.42944,1.05408,6.58556,3.883992,2
12:28.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:29.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:30.1,9.9918,1.44204,0.44408,1.93004,9.9918,4.759952,2
12:31.1,9.92104,9.9918,9.9918,9.9918,9.9918,9.977648,2
12:32.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:33.2,9.9918,0.85644,0.37332,2.7084,9.9918,4.784352,2
12:34.2,9.9918,9.9918,0.6466,9.9918,9.9918,8.12276,2
12:35.2,9.9918,0.24156,9.9918,1.33224,1.34444,4.580368,2
12:36.2,9.9918,1.6958,0.49532,0.92964,3.06708,3.235928,2
12:37.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:38.2,9.9918,1.44448,0.37576,1.33712,4.58476,3.546784,2
12:39.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:40.2,9.9918,0.37576,0.42944,0.75884,5.32164,3.375496,2
12:41.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:42.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:43.2,9.9918,0.8174,0.37576,0.75396,5.42656,3.473096,2
12:44.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:45.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:46.2,9.9918,1.87636,0.36844,3.52092,9.9918,5.149864,2
12:47.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:48.2,9.9918,6.40256,9.9918,0.65636,0.93696,5.595896,2
12:49.2,9.9918,2.34484,0.55876,1.31272,3.01584,3.444792,2
12:50.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:51.2,9.9918,1.1956,9.9918,0.40992,0.33184,4.384192,2
12:52.2,9.9918,0.976,0.46604,0.74176,1.9886,2.83284,2
12:53.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:54.2,9.9918,1.69336,0.50752,1.15412,4.6116,3.59168,2
12:55.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:56.2,9.9918,0.4392,0.5978,0.48312,1.22488,2.54736,2
12:57.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:58.2,9.9918,0.73688,9.9918,0.3172,0.16592,4.24072,2
12:59.2,9.9918,1.9886,0.45872,3.0012,7.25168,4.5384,2
13:00.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:01.2,9.9918,1.01016,0.62464,0.83692,4.38956,3.370616,2
13:02.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:03.2,9.9918,0.50752,9.9918,0.28548,0.43432,4.242184,2
13:04.2,9.9918,1.99104,0.46604,1.41276,6.69292,4.110912,2
13:05.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:06.2,9.9918,1.14924,0.61244,0.9272,4.41884,3.419904,2
13:07.2,9.9918,9.9918,5.36556,9.9918,9.9918,9.066552,2
13:08.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:09.2,9.9918,1.2322,0.3904,0.7808,2.38144,2.955328,2
13:10.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:11.2,9.9918,0.65148,0.42212,1.16632,5.07032,3.460408,2
13:12.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:13.2,9.9918,0.26108,1.10776,0.31476,0.9882,2.53272,2
13:14.2,9.9918,2.1838,0.46604,1.99348,5.58516,4.044056,2
13:15.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:16.2,9.9918,0.29768,0.95892,0.1952,0.4758,2.38388,2
13:17.2,9.9918,9.9918,0.65636,9.9918,9.9918,8.124712,2
13:18.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:19.2,9.9918,0.55388,0.22692,1.1102,9.9918,4.37492,2
13:20.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:21.2,9.9918,0.70028,0.61976,0.81984,4.52376,3.331088,2
13:22.2,9.9918,1.17852,0.8906,0.89548,6.649,3.92108,2
13:23.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:24.2,9.9918,0.38064,2.81576,0.30744,0.74908,2.848944,2
13:25.2,9.9918,9.9918,0.52948,9.9918,9.9918,8.099336,2
13:26.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:27.2,9.9918,1.4884,0.44652,1.54696,7.95684,4.286104,2
13:28.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:29.2,9.9918,0.11712,0.86132,0.25132,0.4026,2.324832,2
13:30.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:31.2,9.9918,2.42048,5.90968,0.49044,1.16876,3.996232,2
13:32.2,9.9918,9.9918,0.33916,9.9918,9.9918,8.061272,2
13:33.2,9.9918,0.92964,9.9918,0.75884,0.89792,4.514,2
13:34.2,9.9918,1.82024,0.42212,1.07116,2.03252,3.067568,2
13:35.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:36.2,9.9918,1.87636,0.50996,1.28832,7.58108,4.249504,2
13:37.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:38.2,9.9918,0.4026,0.48312,0.62464,3.47212,2.994856,2
13:39.2,9.9918,9.9918,2.0862,9.9918,9.9918,8.41068,2
13:40.2,9.9918,2.1716,9.9918,0.4636,0.50752,4.625264,2
13:41.2,9.9918,1.36396,0.47824,0.87108,2.61812,3.06464,2
13:42.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:43.2,9.9918,1.769,1.54452,0.47824,1.02724,2.96216,2
13:44.2,9.9918,7.41516,0.55388,6.27812,9.9918,6.846152,2
13:45.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:46.2,9.9918,0.29524,0.43188,0.85888,6.34888,3.585336,2
13:47.2,9.9918,9.9918,0.49532,9.9918,9.9918,8.092504,2
13:48.2,9.9918,9.9918,9.9918,7.11016,2.257,7.868512,2
13:49.2,9.9918,2.6474,0.47092,2.10816,6.80028,4.403712,2
13:50.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:51.2,9.9918,0.671,0.81984,0.47092,0.99796,2.590304,2
13:52.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:53.2,9.9918,0.86132,1.67872,0.56364,1.4396,2.907016,2
13:54.2,9.9918,1.96908,0.49776,1.30296,3.16224,3.384768,2
13:55.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
13:56.2,9.9918,0.86864,0.66124,0.74176,2.77184,3.007056,2
13:57.2,9.9918,9.9918,0.61488,9.9918,9.9918,8.116416,2
13:58.2,9.9918,9.9918,9.9918,9.9918,4.17484,8.828408,2
13:59.3,9.9918,0.93208,0.549,0.61976,2.00568,2.819664,2
14:00.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:01.3,9.9918,0.31232,9.9918,0.1586,0.13176,4.117256,2
14:02.3,9.9918,2.17404,0.35868,5.08252,9.9918,5.519768,2
14:03.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:04.3,9.9918,0.71004,0.4026,1.09312,7.03452,3.846416,2
14:05.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:06.3,9.9918,0.83204,0.40504,0.94916,3.0378,3.043168,2
14:07.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:08.3,9.9918,0.82472,0.55876,0.81984,1.99104,2.837232,2
14:09.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:10.2,9.9918,0.53436,1.06628,0.42944,1.09068,2.622512,2
14:11.2,9.9918,9.9918,0.55876,9.9918,9.9918,8.105192,2
14:12.3,9.9918,9.9918,9.9918,2.30336,1.55428,6.766608,2
14:13.3,9.9918,0.98332,0.5002,0.7564,3.66732,3.179808,2
14:14.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:15.3,9.9918,0.95892,0.29768,9.9918,9.9918,6.2464,2
14:16.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:17.3,9.9918,0.99796,9.9918,0.45628,1.13216,4.514,2
14:18.3,9.9918,3.11588,0.59536,1.85196,5.32164,4.175328,2
14:19.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:20.3,9.9918,1.891,0.49044,1.13216,2.65716,3.232512,2
14:21.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:22.3,9.9918,0.7076,0.55632,0.50508,1.159,2.58396,2
14:23.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:24.3,9.9918,0.7076,0.35136,2.10328,9.9918,4.629168,2
14:25.3,9.9918,9.9918,1.65676,9.9918,9.9918,8.324792,2
14:26.3,9.9918,1.13704,9.9918,0.43676,0.68076,4.447632,2
14:27.3,9.9918,3.4282,0.41724,3.1232,9.9918,5.390448,2
14:28.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:29.3,9.9918,9.9918,0.56364,1.06872,2.37412,4.798016,2
14:30.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:31.3,9.9918,1.14192,9.9918,0.46116,0.976,4.512536,2
14:32.3,9.9918,3.28424,0.4636,2.928,4.1602,4.165568,2
14:33.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:34.3,9.9918,1.91052,0.84424,0.93696,3.31352,3.399408,2
14:35.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:36.3,9.9918,0.62708,0.549,0.59292,2.51564,2.855288,2
14:37.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:38.3,9.9918,1.09556,9.9918,0.42944,0.16836,4.335392,2
14:39.3,9.9918,1.99592,0.51484,1.20536,2.66204,3.273992,2
14:40.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:41.3,9.9918,4.36028,0.58804,0.90036,1.88856,3.545808,2
14:42.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:43.3,9.9918,1.26148,0.42212,3.97964,9.9918,5.129368,2
14:44.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:45.3,9.9918,0.66368,0.61244,0.65636,2.11304,2.807464,2
14:46.3,9.9918,9.9918,3.03048,9.9918,9.9918,8.599536,2
14:47.3,9.9918,9.9918,9.9918,1.16876,0.8784,6.404512,2
14:48.3,9.9918,4.76044,0.5002,1.27612,2.44488,3.794688,2
14:49.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:50.3,9.9918,0.42212,1.891,0.2684,0.40504,2.595672,2
14:51.3,9.9918,9.9918,1.21024,9.9918,9.9918,8.235488,2
14:52.3,9.9918,0.9028,9.9918,0.43432,0.11224,4.286592,2
14:53.3,9.9918,1.14924,0.39528,1.43228,7.30536,4.054792,2
14:54.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:55.3,9.9918,0.91744,0.86376,0.54656,2.07888,2.879688,2
14:56.3,9.9918,1.8788,0.44408,1.99104,4.37492,3.736128,2
14:57.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
14:58.3,9.9918,0.9028,0.48068,0.74176,6.34156,3.69172,2
14:59.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:00.3,9.9918,0.62464,9.9918,0.30744,0.2684,4.236816,2
15:01.3,9.9918,9.9918,1.50792,1.77388,2.7938,5.21184,2
15:02.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:03.3,9.9918,0.70028,0.33916,0.76372,4.98004,3.355,2
15:04.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:05.3,9.9918,0.5856,0.42944,0.61732,3.65756,3.056344,2
15:06.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:07.3,9.9918,0.23424,9.9918,0.15616,0.11712,4.098224,2
15:08.3,9.9918,1.94224,0.44652,2.7816,9.9918,5.030792,2
15:09.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:10.3,9.9918,0.81984,0.30012,1.15656,9.9918,4.452024,2
15:11.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:12.3,9.9918,1.21024,6.21224,0.46848,1.02968,3.782488,2
15:13.4,9.9918,2.03008,0.43188,4.37004,9.9918,5.36312,2
15:14.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:15.3,9.9918,1.99104,0.45872,9.9918,9.9918,6.485032,2
15:16.3,9.9918,6.87836,0.74176,4.52376,9.9918,6.425496,2
15:17.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:18.3,9.9918,0.58072,0.63196,0.50752,2.02032,2.746464,2
15:19.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:20.3,9.9918,0.6954,0.27816,2.46684,7.13944,4.114328,2
15:21.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:22.3,9.9918,0.31964,9.9918,0.23912,0.27084,4.16264,2
15:23.3,9.9918,2.60836,0.37332,5.79256,9.9918,5.751568,2
15:24.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:25.3,9.9918,0.976,0.88572,0.55388,1.12972,2.707424,2
15:26.3,9.9918,9.9918,0.5856,9.9918,9.9918,8.11056,2
15:27.3,9.9918,9.9918,9.9918,9.9918,8.0032,9.59408,2
15:28.3,9.9918,1.7568,0.50752,0.78324,2.55224,3.11832,2
15:29.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:30.3,9.9918,0.46848,0.77348,0.33916,0.915,2.497584,2
15:31.3,9.9918,9.9918,0.70516,9.9918,9.9918,8.134472,2
15:32.3,9.9918,9.9918,9.9918,2.84992,2.06668,6.9784,2
15:33.3,9.9918,0.9394,0.50752,0.73932,4.00648,3.236904,2
15:34.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:35.3,9.9918,0.74908,0.45628,0.79788,5.83892,3.566792,2
15:36.3,9.9918,9.9918,1.1956,9.9918,9.9918,8.23256,2
15:37.3,9.9918,0.92964,9.9918,0.3904,0.47824,4.356376,2
15:38.3,9.9918,1.89588,0.38552,1.4518,9.6746,4.67992,2
15:39.3,9.9918,9.9918,9.9918,5.6608,6.09024,8.345288,2
15:40.3,9.9918,2.68644,0.2806,9.45256,9.9918,6.48064,2
15:41.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:42.3,9.9918,0.44652,0.5856,0.40748,1.30052,2.546384,2
15:43.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:44.3,9.9918,9.9918,9.9918,3.23788,1.07116,6.856888,2
15:45.3,9.9918,2.13744,0.50752,1.12728,4.19436,3.59168,2
15:46.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:47.4,9.9918,0.66856,1.11996,0.34892,0.92232,2.610312,2
15:48.4,9.9918,9.9918,0.53192,9.9918,9.9918,8.099824,2
15:49.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:50.3,9.9918,0.66124,0.41724,0.71492,3.7088,3.0988,2
15:51.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:52.4,9.9918,0.30012,1.07848,0.24156,0.71492,2.465376,2
15:53.4,9.9918,9.9918,0.6466,9.9918,9.9918,8.12276,2
15:54.3,9.9918,2.32532,9.9918,0.85888,1.30052,4.893664,2
15:55.4,9.9918,0.74176,0.63196,0.54412,1.342,2.650328,2
15:56.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:57.4,9.9918,0.36844,0.22204,1.4396,8.41068,4.086512,2
15:58.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
15:59.4,9.9918,0.57584,9.9918,0.2196,0.42212,4.240232,2
16:00.4,9.9918,0.86132,0.50264,0.70272,3.96012,3.20372,2
16:01.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:02.4,9.9918,0.54656,0.66368,0.42944,1.22732,2.57176,2
16:03.4,9.9918,9.9918,0.89792,9.9918,9.9918,8.173024,2
16:04.4,9.9918,9.9918,9.9918,4.1114,2.14964,7.247288,2
16:05.4,9.9918,0.64904,0.33672,0.97844,7.79824,3.950848,2
16:06.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:07.4,9.9918,1.29564,9.9918,0.3538,0.38796,4.4042,2
16:08.4,9.9918,1.3298,0.42456,0.54412,1.97396,2.852848,2
16:09.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:10.4,9.9918,3.14028,0.5124,2.6108,6.41476,4.534008,2
16:11.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:12.4,9.9918,0.65636,5.96824,0.50508,0.93696,3.611688,2
16:13.4,9.9918,2.56688,0.35136,2.38876,6.20004,4.299768,2
16:14.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:15.4,9.9918,0.88328,1.00284,0.45872,0.9028,2.647888,2
16:16.4,9.9918,6.405,0.73444,3.28912,9.9918,6.082432,2
16:17.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:18.4,9.9918,1.05408,0.77592,0.81984,2.21796,2.97192,2
16:19.5,9.9918,9.9918,0.77104,9.9918,9.9918,8.147648,2
16:20.4,9.9918,9.9918,9.9918,9.9918,5.64616,9.122672,2
16:21.4,9.9918,1.84952,0.41968,1.89832,9.8332,4.798504,2
16:22.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:23.4,9.9918,2.17404,9.9918,0.53924,0.90524,4.720424,2
16:24.4,9.9918,1.35176,0.41724,1.71532,9.9918,4.693584,2
16:25.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:26.4,9.9918,1.22488,0.70028,1.13216,2.22772,3.055368,2
16:27.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:28.4,9.9918,0.84668,0.854,0.83448,1.66164,2.83772,2
16:29.4,9.9918,3.73564,0.41968,6.12196,9.9918,6.052176,2
16:30.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:31.4,9.9918,0.60268,0.55144,0.5124,2.16428,2.76452,2
16:32.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:33.4,9.9918,0.79788,9.9918,0.36112,0.31964,4.292448,2
16:34.4,9.9918,9.9918,0.43676,4.84096,9.9918,7.050624,2
16:35.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:36.4,9.9918,4.37736,9.9918,0.55876,0.61488,5.10692,2
16:37.4,9.9918,0.58804,0.35868,0.64172,2.77184,2.870416,2
16:38.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:39.4,9.9918,3.0134,9.9918,0.6954,0.50996,4.840472,2
16:40.4,9.9918,9.9918,0.9028,9.9918,9.9918,8.174,2
16:41.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:42.4,9.9918,0.39284,0.61244,0.32696,1.39324,2.543456,2
16:43.4,9.9918,3.0988,0.76616,0.8906,1.4396,3.237392,2
16:44.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:45.4,9.9918,0.57096,0.42944,1.48596,6.588,3.813232,2
16:46.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:47.4,9.9918,3.92108,9.9918,1.10776,0.90768,5.184024,2
16:48.4,9.9918,0.7198,0.38064,0.71492,3.86008,3.133448,2
16:49.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:50.4,9.9918,9.67948,9.9918,1.2444,0.88328,6.358152,2
16:51.4,9.9918,1.15168,0.60268,0.82716,2.73524,3.061712,2
16:52.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:53.4,9.9918,1.36884,9.9918,0.5734,0.94672,4.574512,2
16:54.4,9.9918,0.61976,0.39772,0.89792,6.09512,3.600464,2
16:55.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:56.4,9.9918,0.87108,9.9918,0.35136,0.7808,4.397368,2
16:57.4,9.9918,1.59576,0.44652,1.44936,7.76896,4.25048,2
16:58.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
16:59.4,9.9918,0.69296,0.49532,0.5612,0.9638,2.541016,2
17:00.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
17:01.4,9.9918,0.5734,3.29156,0.53924,0.75884,3.030968,2
17:02.4,9.9918,1.02724,0.5002,0.73932,2.53272,2.958256,2
17:03.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
17:04.4,9.9918,0.49532,0.81252,0.32696,1.1346,2.55224,2
17:05.4,9.9918,9.9918,0.671,9.9918,9.9918,8.12764,2
17:06.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
17:07.4,9.9918,1.71776,0.7198,1.19804,2.90116,3.305712,2
17:08.4,9.9918,9.9918,0.61244,9.9918,9.9918,8.115928,2
17:09.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
17:49.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
17:50.4,9.9918,0.1952,9.9918,0.12444,0.23668,4.107984,2
17:51.4,9.9918,1.29564,0.47336,0.95892,5.46316,3.636576,2
