Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
23:05.5,3.38672,3.68684,0.31232,9.9918,9.9918,5.473896,2
23:06.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:07.5,9.9918,0.48068,9.9918,0.32696,0.82716,4.32368,2
23:08.5,9.9918,1.60308,0.32452,1.21756,9.9918,4.625752,2
23:09.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:10.5,9.9918,1.39812,0.50752,1.18828,9.9918,4.615504,2
23:11.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:12.5,9.9918,1.94712,0.60756,0.77348,3.12076,3.288144,2
23:13.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:14.5,9.9918,1.22488,0.59536,0.65148,2.16428,2.92556,2
23:15.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:16.5,9.9918,0.3904,0.48312,0.67832,5.93896,3.49652,2
23:17.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:18.5,9.9918,0.46848,0.53924,0.5856,4.93124,3.303272,2
23:19.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:20.5,9.9918,0.42944,0.55388,0.61732,5.09716,3.33792,2
23:21.5,9.9918,9.9918,0.58316,9.9918,9.9918,8.110072,2
23:22.5,9.9918,9.9918,9.9918,5.5266,3.35744,7.771888,2
23:23.5,9.9918,2.17892,0.50752,1.91296,9.9918,4.9166,2
23:24.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:25.5,9.9918,1.16388,0.69784,0.50996,1.82756,2.838208,2
23:26.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:27.5,9.9918,0.9394,0.75884,0.88572,6.38792,3.792736,2
23:28.5,9.9918,2.73524,0.4514,9.9918,9.9918,6.632408,2
23:29.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:30.5,9.9918,2.135,0.56608,1.66896,3.39648,3.551664,2
23:31.5,9.9918,9.9918,0.67832,8.18864,9.9918,7.768472,2
23:32.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:33.5,9.9918,1.23952,0.61244,0.85888,2.1594,2.972408,2
23:34.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:35.5,9.9918,0.75396,0.83204,0.47336,0.97112,2.604456,2
23:36.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:37.5,9.9918,0.99064,1.16632,0.45384,1.08092,2.736704,2
23:38.5,9.9918,9.9918,0.54656,9.9918,9.9918,8.102752,2
23:39.5,9.9918,0.83448,9.9918,0.47824,0.915,4.442264,2
23:40.5,9.9918,4.33588,0.63684,4.15288,9.9918,5.82184,2
23:41.5,9.9918,3.28668,9.9918,0.83204,1.32736,5.085936,2
23:42.5,9.9918,6.3562,0.49044,9.9918,9.9918,7.364408,2
23:43.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:44.5,9.9918,2.08132,0.44652,1.82024,9.9918,4.866336,2
23:45.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:46.5,9.9918,9.9918,2.34484,1.77144,4.33344,5.686664,2
23:47.5,9.9918,1.58356,0.40504,1.28832,9.9918,4.652104,2
23:48.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:49.5,9.9918,5.33872,0.43676,1.10044,4.23096,4.219736,2
23:50.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:51.5,9.9918,0.84912,0.76616,0.47336,1.21024,2.658136,2
23:52.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:53.5,9.9918,1.05896,0.46848,0.72956,3.71124,3.192008,2
23:54.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:55.5,9.9918,0.9882,0.37576,1.60064,9.9918,4.58964,2
23:56.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:57.5,9.9918,1.3542,0.46848,1.62748,9.9918,4.686752,2
23:58.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
23:59.6,9.9918,1.05408,0.91012,0.48312,0.8784,2.663504,2
24:00.5,9.9918,9.9918,0.8418,9.9918,9.9918,8.1618,2
24:01.5,9.9918,1.53964,0.80276,1.07116,7.16872,4.114816,2
24:02.5,9.9918,5.89748,0.61732,9.9918,9.9918,7.29804,2
12:05.1,9.9918,9.9918,0.55144,6.57092,9.9918,7.419552,2
12:06.1,9.9918,9.9918,9.9918,9.9918,5.38508,9.070456,2
12:07.1,9.9918,1.75192,0.44408,0.96868,5.60956,3.753208,2
12:08.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:09.1,9.9918,0.63196,0.1586,9.9918,9.9918,6.153192,2
12:10.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:11.1,9.9918,0.37332,0.89304,0.46848,1.48352,2.642032,2
12:12.1,9.9918,3.5014,0.61244,2.10816,9.1622,5.0752,2
12:13.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:14.1,9.9918,0.61488,0.5246,0.68076,0.81984,2.526376,2
12:15.2,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:16.1,9.9918,0.31232,0.93452,0.31476,0.6222,2.43512,2
12:17.1,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,2
12:18.1,9.9918,0.1952,9.9918,0.20496,0.14396,4.105544,2
12:19.1,9.9918,9.9918,0.5978,9.9918,9.9918,8.113,2
12:20.1,9.9918,1.61284,1.63724,0.5368,0.8906,2.933856,2
