Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,,MIN,MAX,MEAN,,MAX MEAN,MAX MAX
16:02.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
16:03.4,0.06344,0.97112,0.56364,4.30172,9.9918,3.178344,3,,9.92836,9.02068,9.42816,5.69008,0,,0,9.92836,6.813456,,,
16:04.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
16:05.3,0.05368,0.8418,0.671,2.9402,9.9918,2.899696,3,,9.93812,9.15,9.3208,7.0516,0,,0,9.93812,7.092104,,,
16:06.4,0.30012,9.9918,9.9918,9.9918,9.9918,8.053464,3,,9.69168,0,0,0,0,,0,9.69168,1.938336,,,
16:07.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
16:08.4,0.00976,2.51564,0.99308,9.9918,9.9918,4.700416,3,,9.98204,7.47616,8.99872,0,0,,0,9.98204,5.291384,,,
16:09.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
16:10.3,0.11468,0.63196,1.14924,0.92476,4.1358,1.391288,3,,9.87712,9.35984,8.84256,9.06704,5.856,,5.856,9.87712,8.600512,,,
16:11.4,0.13664,9.9918,3.0012,9.9918,9.9918,6.622648,3,,9.85516,0,6.9906,0,0,,0,9.85516,3.369152,,,
16:12.4,0.46604,0.40748,0.79544,0.85888,3.90888,1.287344,3,,9.52576,9.58432,9.19636,9.13292,6.08292,,6.08292,9.58432,8.704456,,,
16:13.3,0.122,3.02316,2.04716,9.9918,9.9918,5.035184,3,,9.8698,6.96864,7.94464,0,0,,0,9.8698,4.956616,,,
16:14.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
16:15.4,0.01708,1.71776,0.99308,9.9918,9.9918,4.542304,3,,9.97472,8.27404,8.99872,0,0,,0,9.97472,5.449496,,,
16:16.4,9.9918,9.9918,9.9918,8.11544,2.47172,8.112512,3,,0,0,0,1.87636,7.52008,,0,7.52008,1.879288,,,
16:17.4,0.07564,1.0492,1.28832,1.24684,2.95484,1.322968,3,,9.91616,8.9426,8.70348,8.74496,7.03696,,7.03696,9.91616,8.668832,,,
16:18.4,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
16:19.4,0.05612,1.22244,1.28588,1.67384,3.95036,1.637728,3,,9.93568,8.76936,8.70592,8.31796,6.04144,,6.04144,9.93568,8.354072,,,
48:08.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:09.3,3.233,0.96136,1.07116,0.81984,3.59168,1.935408,3,,6.7588,9.03044,8.92064,9.17196,6.40012,,6.40012,9.17196,8.056392,,,
48:10.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:11.3,6.85396,0.32452,2.54492,0.26352,0.40504,2.078392,3,,3.13784,9.66728,7.44688,9.72828,9.58676,,3.13784,9.72828,7.913408,,,
48:12.3,3.81372,4.10408,1.08092,9.9918,9.9918,5.796464,3,,6.17808,5.88772,8.91088,0,0,,0,8.91088,4.195336,,,
48:13.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:14.3,3.24032,0.671,1.13216,0.5246,2.10084,1.533784,3,,6.75148,9.3208,8.85964,9.4672,7.89096,,6.75148,9.4672,8.458016,,,
48:15.3,4.148,9.9918,9.9918,9.9918,9.9918,8.82304,3,,5.8438,0,0,0,0,,0,5.8438,1.16876,,,
48:16.3,9.9918,1.30052,9.9918,0.50752,0.47336,4.453,3,,0,8.69128,0,9.48428,9.51844,,0,9.51844,5.5388,,,
48:17.3,3.46724,2.71084,1.21512,7.55912,6.71976,4.334416,3,,6.52456,7.28096,8.77668,2.43268,3.27204,,2.43268,8.77668,5.657384,,,
48:18.3,9.9918,9.9918,9.9918,9.9918,2.928,8.57904,3,,0,0,0,0,7.0638,,0,7.0638,1.41276,,,
48:19.3,3.33548,1.16144,1.1224,1.22732,4.93124,2.355576,3,,6.65632,8.83036,8.8694,8.76448,5.06056,,5.06056,8.8694,7.636224,,,
48:20.3,9.9918,9.9918,9.9918,9.9918,4.23828,8.841096,3,,0,0,0,0,5.75352,,0,5.75352,1.150704,,,
48:21.3,3.31596,2.2814,1.40544,1.96908,4.8068,2.755736,3,,6.67584,7.7104,8.58636,8.02272,5.185,,5.185,8.58636,7.236064,,,
48:22.3,9.9918,0.44164,9.9918,0.66368,0.74176,4.366136,3,,0,9.55016,0,9.32812,9.25004,,0,9.55016,5.625664,,,
48:23.3,3.73564,1.82268,0.93696,6.51724,9.9918,4.600864,3,,6.25616,8.16912,9.05484,3.47456,0,,0,9.05484,5.390936,,,
48:24.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:25.3,3.16224,0.91256,1.06384,0.72712,2.77184,1.72752,3,,6.82956,9.07924,8.92796,9.26468,7.21996,,6.82956,9.26468,8.26428,,,
48:26.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:27.3,9.37692,0.27572,2.65228,0.24156,0.43188,2.595672,3,,0.61488,9.71608,7.33952,9.75024,9.55992,,0.61488,9.75024,7.396128,,,
48:28.3,3.78688,3.1232,1.09068,7.00036,9.9918,4.998584,3,,6.20492,6.8686,8.90112,2.99144,0,,0,8.90112,4.993216,,,
48:29.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:30.3,3.14028,0.75396,0.89548,0.70516,2.7694,1.652856,3,,6.85152,9.23784,9.09632,9.28664,7.2224,,6.85152,9.28664,8.338944,,,
48:31.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:32.3,9.9918,0.22692,9.9918,0.11712,0.22448,4.110424,3,,0,9.76488,0,9.87468,9.76732,,0,9.87468,5.881376,,,
48:33.3,3.782,7.61524,1.3054,9.9918,9.9918,6.537248,3,,6.2098,2.37656,8.6864,0,0,,0,8.6864,3.454552,,,
48:34.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:35.3,3.0378,1.07604,0.87596,0.93696,2.3424,1.653832,3,,6.954,8.91576,9.11584,9.05484,7.6494,,6.954,9.11584,8.337968,,,
48:36.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:37.3,6.59288,0.34892,1.4396,0.30012,1.01504,1.939312,3,,3.39892,9.64288,8.5522,9.69168,8.97676,,3.39892,9.69168,8.052488,,,
48:38.3,4.16508,9.9918,9.9918,9.9918,9.9918,8.826456,3,,5.82672,0,0,0,0,,0,5.82672,1.165344,,,
48:39.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
48:40.3,3.1598,0.99064,0.93696,0.90524,4.6848,2.135488,3,,6.832,9.00116,9.05484,9.08656,5.307,,5.307,9.08656,7.856312,,,
48:41.3,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,3,,0,0,0,0,0,,0,0,0,,,
