Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label,,,,,,,Mean
22:05.5,3.355,0.43188,0.3416,0.48312,5.40216,2.002752,0,,6.6368,9.55992,9.6502,9.50868,4.58964,7.989048
22:06.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
22:07.5,1.0614,0.50752,0.244,0.66368,9.9918,2.49368,0,,8.9304,9.48428,9.7478,9.32812,0,7.49812
22:08.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:11.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:12.5,3.41356,0.75396,0.34648,0.549,4.18948,1.850496,0,,6.57824,9.23784,9.64532,9.4428,5.80232,8.141304
00:13.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:14.5,5.92676,0.17568,0.30256,0.30744,1.7934,1.701168,0,,4.06504,9.81612,9.68924,9.68436,8.1984,8.290632
00:15.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:16.5,3.35012,0.40504,0.31964,0.38796,4.7214,1.836832,0,,6.64168,9.58676,9.67216,9.60384,5.2704,8.154968
00:17.5,9.9918,9.9918,4.02112,9.9918,9.9918,8.797664,0,,0,0,5.97068,0,0,1.194136
00:18.5,9.9918,0.305,9.9918,0.26108,1.13216,4.336368,0,,0,9.6868,0,9.73072,8.85964,5.655432
00:19.5,3.5014,0.84668,0.31232,0.84424,5.84868,2.270664,0,,6.4904,9.14512,9.67948,9.14756,4.14312,7.721136
00:20.5,9.9918,1.16388,9.9918,0.56364,1.31028,4.60428,0,,0,8.82792,0,9.42816,8.68152,5.38752
00:21.5,3.82836,0.47824,0.1342,1.04432,9.9918,3.095384,0,,6.16344,9.51356,9.8576,8.94748,0,6.896416
00:22.5,9.9918,1.62016,9.9918,1.99592,3.1232,5.344576,0,,0,8.37164,0,7.99588,6.8686,4.647224
00:23.5,3.7942,0.55388,0.22692,1.05408,9.9918,3.124176,0,,6.1976,9.43792,9.76488,8.93772,0,6.867624
00:24.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:25.5,3.66244,0.42944,0.24644,0.74176,9.9918,3.014376,0,,6.32936,9.56236,9.74536,9.25004,0,6.977424
00:26.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:27.5,9.9918,0.06588,0.35868,0.14396,1.10776,2.333616,0,,0,9.92592,9.63312,9.84784,8.88404,7.658184
00:28.5,4.38468,3.85276,0.90036,2.8426,9.9918,4.39444,0,,5.60712,6.13904,9.09144,7.1492,0,5.59736
00:29.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:30.5,3.94304,0.28548,0.28792,0.49288,9.9918,3.000224,0,,6.04876,9.70632,9.70388,9.49892,0,6.991576
00:31.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:32.5,9.9918,0.17324,0.35624,0.26352,1.0614,2.36924,0,,0,9.81856,9.63556,9.72828,8.9304,7.62256
00:33.5,4.25536,9.9918,0.67832,9.9918,9.9918,6.981816,0,,5.73644,0,9.31348,0,0,3.009984
00:34.5,9.9918,0.14396,2.9402,0.42944,3.20616,3.342312,0,,0,9.84784,7.0516,9.56236,6.78564,6.649488
00:35.5,3.82592,0.44164,0.22692,0.62952,9.9918,3.02316,0,,6.16588,9.55016,9.76488,9.36228,0,6.96864
00:36.5,9.9918,2.51564,8.8938,9.9918,9.9918,8.276968,0,,0,7.47616,1.098,0,0,1.714832
00:37.5,3.56728,0.71736,0.27816,1.28588,9.9918,3.168096,0,,6.42452,9.27444,9.71364,8.70592,0,6.823704
00:38.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:39.6,3.47456,0.22936,0.23912,0.42944,4.45544,1.765584,0,,6.51724,9.76244,9.75268,9.56236,5.53636,8.226216
00:40.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:41.5,3.5868,0.50752,0.22936,1.09312,9.9918,3.08172,0,,6.405,9.48428,9.76244,8.89868,0,6.91008
00:42.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:43.5,3.62096,0.62708,0.26108,0.94428,9.9918,3.08904,0,,6.37084,9.36472,9.73072,9.04752,0,6.90276
00:44.6,9.9918,9.9918,1.60308,9.9918,9.9918,8.314056,0,,0,0,8.38872,0,0,1.677744
00:45.5,9.9918,0.41236,9.9918,0.32696,0.976,4.339784,0,,0,9.57944,0,9.66484,9.0158,5.652016
00:46.5,3.69172,0.86864,0.27572,1.23708,9.9918,3.212992,0,,6.30008,9.12316,9.71608,8.75472,0,6.778808
00:47.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:48.5,3.13296,0.3904,0.33916,0.51484,1.45668,1.166808,0,,6.85884,9.6014,9.65264,9.47696,8.53512,8.824992
00:49.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:50.5,3.86496,1.40056,0.27328,9.9918,9.9918,5.10448,0,,6.12684,8.59124,9.71852,0,0,4.88732
00:51.5,9.9918,0.58804,9.9918,0.32696,1.02236,4.384192,0,,0,9.40376,0,9.66484,8.96944,5.607608
00:52.6,3.8918,0.98576,0.40504,1.13216,9.9918,3.281312,0,,6.1,9.00604,9.58676,8.85964,0,6.710488
00:53.6,9.9918,0.47824,0.70272,0.74176,2.23016,2.828936,0,,0,9.51356,9.28908,9.25004,7.76164,7.162864
00:54.5,3.8918,2.45952,0.427,1.99104,9.9918,3.752232,0,,6.1,7.53228,9.5648,8.00076,0,6.239568
00:55.6,9.9918,0.3294,0.19764,0.89792,9.9918,4.281712,0,,0,9.6624,9.79416,9.09388,0,5.710088
00:56.5,4.2456,9.9918,0.67344,9.9918,9.9918,6.978888,0,,5.7462,0,9.31836,0,0,3.012912
00:57.5,9.9918,0.06832,0.38552,0.15128,0.81984,2.283352,0,,0,9.92348,9.60628,9.84052,9.17196,7.708448
00:58.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
00:59.5,9.9918,0.2684,0.43432,0.20984,0.81984,2.34484,0,,0,9.7234,9.55748,9.78196,9.17196,7.64696
01:00.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:01.6,6.8686,0.1952,0.12932,0.671,9.21344,3.415512,0,,3.1232,9.7966,9.86248,9.3208,0.77836,6.576288
01:02.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:03.5,2.86456,0.5368,0.45384,0.43188,0.94184,1.045784,0,,7.12724,9.455,9.53796,9.55992,9.04996,8.946016
01:04.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:05.6,3.35744,3.03536,0.39284,1.52256,9.9918,3.66,0,,6.63436,6.95644,9.59896,8.46924,0,6.3318
01:06.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:07.6,3.21592,0.26596,0.33916,0.42456,1.14924,1.078968,0,,6.77588,9.72584,9.65264,9.56724,8.84256,8.912832
01:08.5,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:09.6,3.57704,0.27816,0.23424,0.5856,9.9918,2.933368,0,,6.41476,9.71364,9.75756,9.4062,0,7.058432
01:10.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:11.6,3.43552,0.50264,0.27816,0.66368,9.9918,2.97436,0,,6.55628,9.48916,9.71364,9.32812,0,7.01744
01:12.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:13.5,3.27936,0.29036,0.42212,0.24888,2.59372,1.366888,0,,6.71244,9.70144,9.56968,9.74292,7.39808,8.624912
01:14.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:15.6,9.9918,0.0122,0.50752,0.02684,0.88084,2.28384,0,,0,9.9796,9.48428,9.96496,9.11096,7.70796
01:16.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:17.6,9.9918,0.09272,0.23912,0.2684,1.41276,2.40096,0,,0,9.89908,9.75268,9.7234,8.57904,7.59084
01:18.6,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,0,,0,0,0,0,0,0
01:19.6,3.599,0.42944,0.1952,0.74176,9.9918,2.99144,0,,6.3928,9.56236,9.7966,9.25004,0,7.00036
01:20.6,9.9918,9.9918,1.49572,9.9918,9.9918,8.292584,0,,0,0,8.49608,0,0,1.699216
