Timestamp,,Sensor_Values1,,,,,,Min,Max,Mean,,Max Mean Value,Max max value
55:18.6,,4.37492,0,6.78076,0,0,,0,6.78076,2.231136,,,
55:19.6,,4.25048,9.638,9.38424,9.6136,9.35984,,4.25048,9.638,8.449232,,,
55:20.6,,0,0,0,0,0,,0,0,0,,,
55:21.6,,6.20492,9.45988,9.67948,9.45744,8.3204,,6.20492,9.67948,8.624424,,,
55:22.6,,0,0,0,0,0,,0,0,0,,,
55:23.6,,4.75556,9.60384,9.49648,9.63068,9.63312,,4.75556,9.63312,8.623936,,,
55:24.6,,0,0,0,0,0,,0,0,0,,,
55:25.6,,0,9.70144,9.4062,9.67948,9.55016,,0,9.70144,7.667456,,,
55:26.6,,4.99956,0,6.9174,5.75108,0,,0,6.9174,3.533608,,,
55:27.6,,0,0,0,6.47576,6.81248,,0,6.81248,2.657648,,,
55:28.6,,6.13904,9.20612,9.50136,8.89868,7.45176,,6.13904,9.50136,8.239392,,,
55:29.6,,4.87756,8.2594,9.19392,0,0,,0,9.19392,4.466176,,,
55:30.6,,0,0,0,0,0,,0,0,0,,,
55:31.6,,6.161,9.24516,9.58676,9.31836,7.11992,,6.161,9.58676,8.28624,,,
55:32.6,,0,0,0,6.70512,6.68072,,0,6.70512,2.677168,,,
55:33.6,,5.29724,7.68844,8.6376,7.70064,0,,0,8.6376,5.864784,,,
55:34.6,,0,9.72828,8.52536,9.74292,9.4672,,0,9.74292,7.492752,,,
55:35.6,,3.41356,0,0,0,0,,0,3.41356,0.682712,,,
55:36.6,,0,9.56236,8.51316,9.62336,9.49404,,0,9.62336,7.438584,,,
55:37.6,,4.84096,0,8.08616,0,0,,0,8.08616,2.585424,,,
55:38.6,,0,6.98572,0,8.8328,9.1988,,0,9.1988,5.003464,,,
55:39.6,,0,0,0,0,0,,0,0,0,,,
55:40.6,,6.2464,9.4184,9.45012,9.3818,9.02068,,6.2464,9.45012,8.70348,,,
55:41.6,,0,0,0,0,0,,0,0,0,,,
55:42.6,,5.9414,9.5404,9.52088,9.52332,9.50624,,5.9414,9.5404,8.806448,,,
55:43.6,,5.15328,0,8.12764,1.03944,0,,0,8.12764,2.864072,,,
55:44.6,,0,9.76976,8.98408,9.75756,9.52332,,0,9.76976,7.606944,,,
55:45.6,,0,0,0,0,0,,0,0,0,,,
55:46.6,,0,9.4672,0,9.63556,9.3696,,0,9.63556,5.694472,,,
55:47.6,,5.37776,2.74256,8.77668,0,0,,0,8.77668,3.3794,,,
55:48.6,,0,9.5892,0,9.7722,9.5648,,0,9.7722,5.78524,,,
55:49.6,,5.06544,0,7.1004,0,0,,0,7.1004,2.433168,,,
