Timestamp,Sensor_Labels,Sensor_Values
24:21.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:22.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.034159999999999996, 1.5884399999999999, 1.8519599999999998, 1.21024, 6.12928]"
24:23.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.14884, 1.8690399999999998, 2.99144, 3.82104, 7.2492399999999995]"
24:24.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:25.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.07076, 1.05408, 1.403, 1.13948, 2.928]"
24:26.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:27.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.2037199999999997, 9.9918, 9.9918, 9.9918]"
24:28.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.03904, 1.00528, 1.2322, 1.38104, 4.487159999999999]"
24:29.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:30.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.09272, 0.7905599999999999, 1.3493199999999999, 0.82472, 3.31596]"
24:31.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.19519999999999998, 9.9918, 9.9918, 9.9918, 9.9918]"
24:32.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:33.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.03904, 1.3224799999999999, 1.45424, 2.14232, 6.2439599999999995]"
24:34.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:35.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.03904, 0.99796, 1.29076, 1.28344, 5.3094399999999995]"
24:36.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:37.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.11467999999999999, 0.6587999999999999, 0.99552, 1.02968, 2.85724]"
24:38.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
24:39.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.08052, 0.94184, 1.44448, 1.1004399999999999, 3.93084]"
24:40.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.6079599999999998, 5.69496, 9.9918, 9.9918, 9.9918]"
24:41.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 4.5628, 9.9918, 2.2252799999999997, 4.58232]"
24:42.0,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[1.41032, 9.9918, 9.9918, 9.9918, 9.9918]"
