Timestamp,Sensor_Labels1,Sensor_Values1,Sensor_Labels2,Sensor_Values2
2024-02-22 13:30:15.225,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[3.7185599999999996, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.90604, 9.9918, 5.2655199999999995, 2.3058]"
2024-02-22 13:30:16.220,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.2805599999999995, 9.49404, 9.61604, 9.26712, 8.781559999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:17.222,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.7933999999999999, 9.9918, 3.6477999999999997, 0.6587999999999999]"
2024-02-22 13:30:18.219,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.324479999999999, 9.0524, 9.56236, 8.854759999999999, 8.2228]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:19.222,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 1.95444, 9.9918, 3.7453999999999996, 0.6758799999999999]"
2024-02-22 13:30:20.241,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.60468, 7.94952, 9.55504, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:21.245,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 8.41556, 0.0, 7.378559999999999, 4.64332]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 2.3302, 1.17608]"
2024-02-22 13:30:22.246,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.367999999999999, 7.869, 8.620519999999999, 4.68236, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:23.219,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.71852, 9.4672, 9.54772, 9.3086]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:24.225,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.1545199999999998, 9.9918, 1.7202, 1.19316]"
2024-02-22 13:30:25.226,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.78196, 9.65508, 9.48184, 9.30128]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:26.257,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.96704, 3.90888, 5.0386, 1.6079599999999998]"
2024-02-22 13:30:27.230,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.13904, 9.47696, 9.6136, 8.813279999999999, 6.954]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:28.240,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.1988, 0.0, 8.625399999999999, 8.962119999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 0.39283999999999997]"
2024-02-22 13:30:29.227,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.421679999999999, 6.17564, 8.46436, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.1963999999999997, 3.27692, 5.363119999999999, 2.2033199999999997]"
2024-02-22 13:30:30.287,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.339119999999999, 9.55748, 9.56236, 9.19392, 7.77384]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:31.258,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.6766799999999997, 3.1744399999999997, 4.489599999999999, 1.5933199999999998]"
2024-02-22 13:30:32.283,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.00728, 9.4062, 9.64044, 8.55464, 2.50344]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:33.256,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.60104, 4.0992, 4.477399999999999, 1.3590799999999998]"
2024-02-22 13:30:34.251,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.67056, 8.747399999999999, 9.53064, 7.61036, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:35.239,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 4.06748, 9.9918, 2.8914, 1.48108]"
2024-02-22 13:30:36.248,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.54368, 8.898679999999999, 9.54772, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:37.237,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.71852, 9.44036, 9.50624, 9.19392]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:38.244,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.6327599999999998, 3.48188, 1.8495199999999998, 1.14924]"
2024-02-22 13:30:39.251,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.1, 9.65752, 9.70876, 9.089, 8.23256]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:40.257,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.0618, 9.9918, 5.16304, 0.85888]"
2024-02-22 13:30:41.263,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.9536, 9.35496, 9.58188, 8.701039999999999, 3.5941199999999998]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:42.251,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.34276, 0.0, 9.07924, 9.09388]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.4892, 9.9918, 5.3533599999999995, 0.83448]"
2024-02-22 13:30:43.262,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.3484799999999995, 6.00484, 8.2594, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.6477999999999997, 4.52376, 5.96092, 2.99876]"
2024-02-22 13:30:44.266,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.64776, 8.976759999999999, 9.48672, 9.57456]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:45.238,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.94264, 9.9918, 2.82308, 2.3424]"
2024-02-22 13:30:46.256,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.01216, 9.70632, 9.65508, 9.27688, 8.00564]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:47.265,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.45952, 3.5989999999999998, 5.14108, 1.28344]"
2024-02-22 13:30:48.253,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.19516, 9.58676, 9.6258, 9.1866, 8.21304]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:49.248,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.4278, 4.01136, 4.73604, 1.3663999999999998]"
2024-02-22 13:30:50.266,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.04388, 9.15732, 9.58676, 8.720559999999999, 3.56484]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:51.264,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 0.0, 0.0, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 2.1593999999999998, 9.9918, 4.96052, 1.05896]"
2024-02-22 13:30:52.268,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[6.161, 9.32812, 9.56724, 8.793759999999999, 7.14188]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
2024-02-22 13:30:53.246,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[0.0, 9.19636, 0.0, 8.945039999999999, 8.600999999999999]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.78688, 9.9918, 3.1915199999999997, 1.8421999999999998]"
2024-02-22 13:30:54.250,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[5.419239999999999, 8.00076, 8.835239999999999, 0.0, 0.0]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 3.5843599999999998, 5.19232, 5.90236, 2.97436]"
2024-02-22 13:30:55.278,"['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[4.82144, 9.62824, 9.36228, 9.5648, 9.54528]","['sensor1', 'sensor2', 'sensor3', 'sensor4', 'sensor5']","[9.9918, 9.9918, 9.9918, 9.9918, 9.9918]"
