Timestamp,Sensor1-L,Sensor2-L,Sensor3-L,Sensor4-L,Sensor5-L,Mean,Label
56:06.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:07.0,2.60104,0.91012,0.76372,1.52256,9.9918,3.157848,1
56:07.9,9.9918,1.5738,9.9918,2.5376,1.75436,5.169872,1
56:08.9,1.55916,9.9918,9.9918,9.9918,9.9918,8.305272,1
56:09.9,9.9918,1.2322,2.41804,1.60552,1.43472,3.336456,1
56:11.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:12.0,2.5864,0.27816,0.41724,0.42944,0.47336,0.83692,1
56:13.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:13.9,2.02764,0.45628,0.42944,0.63196,2.34728,1.17852,1
56:14.9,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:16.0,2.18136,0.5734,0.53436,0.82228,2.27652,1.277584,1
56:17.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:17.9,2.83528,1.36884,0.9028,5.8438,9.9918,4.188504,1
56:18.9,9.9918,1.69824,9.9918,2.34972,2.15208,5.236728,1
56:20.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:20.9,6.40744,0.53436,0.73444,0.62464,0.62464,1.785104,1
56:22.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:23.0,1.952,0.3294,0.35136,0.70028,0.5002,0.766648,1
56:24.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:25.0,1.55428,0.35136,0.3172,0.48312,0.549,0.650992,1
56:26.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:27.0,1.91296,0.22936,0.23424,0.43188,0.46116,0.65392,1
56:28.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:28.9,1.5738,0.3538,0.31232,0.55144,0.63684,0.68564,1
56:30.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:31.0,3.477,0.49288,0.3904,0.54412,0.94184,1.169248,1
56:32.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:33.0,4.87756,0.39528,0.44652,0.4758,0.45384,1.3298,1
56:34.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:35.0,9.9918,1.13704,1.7812,1.19804,1.28344,3.078304,1
56:36.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:37.0,9.9918,0.81252,3.43552,1.48108,1.52256,3.448696,1
56:38.0,3.00608,9.9918,9.9918,9.9918,9.9918,8.594656,1
56:39.0,9.9918,1.20292,5.64616,1.46888,1.53476,3.968904,1
56:40.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:41.0,9.9918,1.61284,9.9918,1.80072,1.80804,5.04104,1
56:42.0,3.41112,9.9918,2.14964,9.9918,9.9918,7.107232,1
56:43.0,9.9918,1.64212,3.00608,1.7568,1.8788,3.65512,1
56:44.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:45.0,9.9918,1.54696,1.90564,1.73972,2.10084,3.456992,1
56:46.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:47.0,9.9918,1.45912,3.36964,1.91052,1.38348,3.622912,1
56:48.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:49.0,9.9918,1.65432,2.33996,1.97884,2.06912,3.606808,1
56:50.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:51.0,9.9918,1.55428,2.09596,1.75192,1.84952,3.448696,1
56:52.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
56:53.0,9.9918,1.11752,9.9918,1.29076,1.30052,4.73848,1
56:54.0,3.4038,1.0858,0.97356,2.2814,7.86412,3.121736,1
56:55.0,9.9918,1.60308,9.9918,2.27896,1.9276,5.158648,1
56:56.0,1.95444,8.18864,1.37128,8.13252,8.04956,5.539288,1
56:57.0,9.9918,1.44448,9.9918,1.49084,1.64456,4.912696,1
56:58.0,3.24032,3.00364,1.69336,9.9918,9.9918,5.584184,1
56:59.0,9.9918,1.73972,9.9918,3.44284,2.1716,5.467552,1
57:00.0,1.84464,1.12972,0.66368,8.17156,8.03004,3.967928,1
57:01.0,9.9918,1.5006,9.9918,1.91784,1.83488,5.047384,1
57:02.0,1.58844,9.9918,9.9918,9.9918,9.9918,8.311128,1
57:03.0,9.9918,1.1102,1.99104,1.23464,1.4396,3.153456,1
57:04.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:05.0,9.9918,0.84668,1.07116,1.00284,1.38348,2.859192,1
57:06.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:07.0,5.9292,0.78568,1.21756,0.81984,0.86132,1.92272,1
57:08.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:09.0,9.9918,0.9394,1.16876,1.11508,1.52988,2.948984,1
57:10.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:11.0,2.38144,0.8052,0.70516,1.14436,3.39648,1.686528,1
57:12.0,9.9918,1.97884,9.9918,4.88,3.16224,6.000936,1
57:13.0,2.14232,0.66368,0.58804,0.92476,2.3546,1.33468,1
57:14.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:15.0,2.1106,0.89792,0.60756,2.03008,8.6498,2.859192,1
57:16.0,9.9918,7.34196,9.9918,9.9918,5.734,8.610272,1
57:17.0,2.77184,2.70108,1.29808,9.9918,9.9918,5.35092,1
57:18.0,9.9918,1.38836,9.9918,2.30336,1.83488,5.10204,1
57:19.0,2.1838,0.65392,0.74908,0.88328,3.46236,1.586488,1
57:20.0,9.9918,1.2932,9.9918,2.06912,1.57624,4.984432,1
57:21.0,2.81088,9.9918,1.73972,9.9918,9.9918,6.9052,1
57:22.0,9.9918,0.86376,9.9918,1.24684,1.28832,4.676504,1
57:23.0,9.9918,9.9918,9.9918,9.9918,9.9918,9.9918,1
57:24.0,9.9918,1.56404,9.9918,1.67872,1.9764,5.040552,1
